Company_ID,Account_Segment,Debit_Value,Credit_Value,Procurement_Waste_Tons,Financial_Narrative,ESG_Disclosure,Cyber_Disclosure,ERPNext_Source_Path,ERPNext_Artifact_Type,ERPNext_Detected_Keywords,Balance_Variance,scaled_Debit_Value,scaled_Credit_Value,scaled_Procurement_Waste_Tons,scaled_Balance_Variance,SubAgent_A_GeneralBERT_Risk,SubAgent_B_LedgerBERT_Risk,SubAgent_C_CyberBERT_Risk,SubAgent_D_ESGBERT_Risk,Reconstruction_Error,Autoencoder_Threshold,Anomaly_Indicator,IForest_Anomaly,IForest_Indicator,Environmental_Score,Social_Score,Governance_Score,Overall_ESG_Score,ESG_Risk_Classification,EU_AI_Act_Compliance_Score,AI_Explainability_Log
Global_Enterprise_100,2000 Liabilities,967623.2911760381,967623.2911760381,26.09151863314489,Revenue recognized through normal channels matching invoice schedules flawlessly.,Scope 1 emissions lowered by 14% through continuous solar infrastructure integration.,Perimeter logging metrics confirm zero security bypass actions or identity theft instances.,banking/README.md,ERPNext documentation artifact,"bank, banking",0.0,-0.3622488304625417,-0.34540675774517904,-0.47356237479409796,-0.3911705235858927,0.0026041456,0.0,0.375,0.125,0.0075153313,0.0071913735,CRITICAL PROFILE ALERT,1,CRITICAL PROFILE ALERT,96.41773600482149,62.5,97.0,85.30591200160717,High,40,Human verification recommended because high autoencoder reconstruction loss (0.0075); Isolation Forest fallback also flagged this profile; cybersecurity-risk terminology was detected.
Global_Enterprise_101,2000 Liabilities,2379250.050704295,2379250.050704295,39.987857940346835,Period-end financial close operations executed in accordance with IFRS frameworks.,Corporate inclusion goals hit target thresholds across operational manufacturing plants.,Enterprise access points migrated securely to multi-factor zero-trust validation models.,banking/package.json,ERPNext JSON DocType/configuration artifact,"bank, banking",0.0,1.3767171728179868,1.342653098235281,-0.33825312050021655,-0.3911705235858927,0.0026041495,0.14285714285714285,0.125,0.0,0.0024310518,0.0071913735,Normal Verified Ledger,0,Normal Verified Ledger,93.25702252763918,87.5,85.71428571428572,88.82376941397497,Low,100,Transparent automated classification. No immediate human escalation required under prototype thresholds.
Global_Enterprise_102,1000 Assets,1843385.1574379425,1843385.1574379425,65.34698963770735,Standard amortization of intangible patent portfolios calculated across linear schedules.,Waste management protocols met all municipal environmental safety compliance rules.,Phishing testing exercises achieved exceptional compliance values among ledger accountants.,banking/tsconfig.app.json,ERPNext JSON DocType/configuration artifact,"bank, banking",0.0,0.7165916648167461,0.7018519739675056,-0.09133016304682051,-0.3911705235858927,0.0026036985,0.0,0.0,0.125,0.0015604214,0.0071913735,Normal Verified Ledger,1,CRITICAL PROFILE ALERT,87.48910426128336,99.0,97.0,94.49636808709447,Medium,85,Human verification recommended because Isolation Forest fallback also flagged this profile.
Global_Enterprise_103,1000 Assets,1516713.2862827396,2047562.9364816986,54.673677143843314,Special batch ledger adjustments committed via root administrative bypass authorization.,Supply chain validation audit verified zero exposure to child labor vectors.,Database schemas for customer records encrypted via standard cryptographic layers.,banking/tsconfig.json,ERPNext JSON DocType/configuration artifact,"bank, banking",530849.650198959,0.3141685212112966,0.9460130526383256,-0.1952566664563794,2.341240463879006,0.0026041642,0.42857142857142855,0.0,0.0,0.025411949,0.0071913735,CRITICAL PROFILE ALERT,0,Normal Verified Ledger,89.91674235357222,99.0,57.14285714285714,82.01986649880978,High,50,Human verification recommended because high autoencoder reconstruction loss (0.0254); ledger-risk terminology was detected.
Global_Enterprise_104,2000 Liabilities,432245.6690839695,432245.6690839695,38.49135112277482,Fixed asset reconciliation completed successfully against factory logistics tracking indices.,Corporate literature states our factory operation has achieved a net-zero impact framework instantly.,Critical ERP patch updates delayed due to legacy hardware optimization blocks.,banking/tsconfig.node.json,ERPNext JSON DocType/configuration artifact,"bank, banking",0.0,-1.021774074972928,-0.9856251905169673,-0.3528246718314679,-0.3911705235858927,0.0026030021,0.0,0.25,0.125,0.0019024988,0.0071913735,Normal Verified Ledger,0,Normal Verified Ledger,93.59740204503795,75.0,97.0,88.53246734834597,Low,85,Human verification recommended because cybersecurity-risk terminology was detected.
Global_Enterprise_105,4000 Revenue,432186.57482369646,432186.57482369646,75.36308289307364,Accounts receivable collections traced back securely to third-party merchant processor accounts.,Board restructuring enhanced transparency via addition of two independent monitoring leads.,Regular perimeter scanning validated effective isolation of payment gateway components.,erpnext/accounts/README.md,ERPNext documentation artifact,"account, accounts",0.0,-1.0218468724804208,-0.9856958569646047,0.006196968333686409,-0.3911705235858927,0.0026041588,0.0,0.0,0.0,0.0035704586,0.0071913735,Normal Verified Ledger,1,CRITICAL PROFILE ALERT,85.21095026395373,99.0,97.0,93.73698342131792,Medium,85,Human verification recommended because Isolation Forest fallback also flagged this profile.
Global_Enterprise_106,5000 Expenses,192304.84981208868,192304.84981208868,21.04179397498481,Routine accrual adjustments for utility overhead metrics performed under corporate supervision.,Strategic sourcing pipelines verified that 80% of primary components use recycled compounds.,Identity permission vectors verified strictly via role-based access control paradigms.,erpnext/accounts/__init__.py,ERPNext Python business logic/test artifact,"account, accounts",0.0,-1.3173542803612956,-1.272552639355696,-0.522731761262011,-0.3911705235858927,0.0026039653,0.14285714285714285,0.25,0.125,0.0033262053,0.0071913735,Normal Verified Ledger,0,Normal Verified Ledger,97.5662926448306,75.0,85.71428571428572,86.09352611970543,Low,85,Human verification recommended because cybersecurity-risk terminology was detected.
Global_Enterprise_107,1000 Assets,2172131.557148591,2172131.557148591,38.596634581550084,Tax provision balancing entry executed following verified regional updates.,Employee training hours on compliance topics expanded by 25% year-over-year.,Disaster recovery backups generated nightly and mirrored to cloud locations.,erpnext/accounts/accounts_dashboard/accounts/accounts.json,ERPNext JSON DocType/configuration artifact,"account, accounts",0.0,1.1215703951638074,1.0949754369536464,-0.35179952225923644,-0.3911705235858927,0.002604088,0.0,0.0,0.0,0.0010646977,0.0071913735,Normal Verified Ledger,0,Normal Verified Ledger,93.57345538975567,99.0,97.0,96.52448512991856,Low,100,Transparent automated classification. No immediate human escalation required under prototype thresholds.
Global_Enterprise_108,5000 Expenses,1522731.7787708617,913639.0672625169,47.131611978774544,Suspense account balancing clearing entry committed without secondary supervisory sign-off.,Water remediation investments completed across processing facility footprints.,Incident containment runbooks tested and approved by independent external panels.,erpnext/accounts/accounts_dashboard/payments/payments.json,ERPNext JSON DocType/configuration artifact,"account, accounts, payment",609092.7115083447,0.32158262962005274,-0.40996249149673325,-0.26869407977518217,2.7439763427376005,0.0026041178,0.2857142857142857,0.0,0.0,0.019122504,0.0071913735,CRITICAL PROFILE ALERT,0,Normal Verified Ledger,91.63218024595771,99.0,71.42857142857143,87.35358389150973,High,50,Human verification recommended because high autoencoder reconstruction loss (0.0191); ledger-risk terminology was detected.
Global_Enterprise_109,4000 Revenue,1784777.8156003114,1784777.8156003114,57.448048184959134,Foreign exchange translation calculation matching real-time valuation windows.,Donation and lobbying records published completely online to ensure corporate accountability.,Network load monitors confirmed normal performance metrics throughout this cycle.,erpnext/accounts/custom/address.py,ERPNext Python business logic/test artifact,"account, accounts",0.0,0.6443939862800061,0.6317677960117897,-0.1682424961479899,-0.3911705235858927,0.0026037951,0.0,0.0,0.0,0.0017895038,0.0071913735,Normal Verified Ledger,1,CRITICAL PROFILE ALERT,89.285713436783,99.0,97.0,95.095237812261,Medium,85,Human verification recommended because Isolation Forest fallback also flagged this profile.
